Sr No,Question Body,Language,Number Of Alternatives,QTYPE,Client Id,Alternative1,Alternative2,Alternative3,Alternative4,Alternative5
1,How satisfied are you overall with online examination?,ENGLISH,5,SU,1,Very Satisfied,Somewhat Satisfied,Neutral,Somewhat Dissatisfied,Dissatisfied
2,How satisfied were you with the support staff at test center?,ENGLISH,5,SU,2,Very Satisfied,Somewhat Satisfied,Neutral,Somewhat Dissatisfied,Dissatisfied
3,How comfortable were you with the look and feel of exams screen?,ENGLISH,5,SU,3,Very Comfortable,Comfortable,Neutral,Somewhat Uncomfortable,Uncomfortable
4,How comfortable were you with navigating between questions?,ENGLISH,5,SU,4,Very Comfortable,Comfortable,Neutral,Somewhat Uncomfortable,Uncomfortable
5,How comfortable were you using keyboard for Subjective question?,ENGLISH,5,SU,5,Very Comfortable,Comfortable,Neutral,Somewhat Uncomfortable,Uncomfortable
6,How comfortable were you using Scientific Calculator?,ENGLISH,5,SU,6,Very Comfortable,Comfortable,Neutral,Somewhat Uncomfortable,Uncomfortable
7,How comfortable were you switching between languages for each question?,ENGLISH,5,SU,7,Very Comfortable,Comfortable,Neutral,Somewhat Uncomfortable,Uncomfortable
8,How much helpful were the test Instructions?,ENGLISH,5,SU,8,Very Helpful,Helpful,Neutral,Somewhat Helpful,Not Helfpul
9,How much helpful were the legend on the screen at left hand top panel ?,ENGLISH,5,SU,9,Very Helpful,Helpful,Neutral,Somewhat Helpful,Not Helfpul
10,Please rate your overall experience of the attempting online examination,ENGLISH,5,SU,10,Excellent,Better,Average,Good,Bad
11,How satisfied are you overall with online examination?,HINDI,5,SU,11,Very Satisfied,Somewhat Satisfied,Neutral,Somewhat Dissatisfied,Dissatisfied
12,How satisfied were you with the support staff at test center?,HINDI,5,SU,12,Very Satisfied,Somewhat Satisfied,Neutral,Somewhat Dissatisfied,Dissatisfied
13,How comfortable were you with the look and feel of exams screen?,HINDI,5,SU,13,Very Comfortable,Comfortable,Neutral,Somewhat Uncomfortable,Uncomfortable
14,How comfortable were you with navigating between questions?,HINDI,5,SU,14,Very Comfortable,Comfortable,Neutral,Somewhat Uncomfortable,Uncomfortable
